Category,Price (INR)_mean,Price (INR)_median,Price (INR)_std,Price (INR)_min,Price (INR)_max,Rating_mean,Rating_median,Rating_std,Rating_min,Rating_max,Rating Count_mean,Rating Count_median,Rating Count_std,Rating Count_min,Rating Count_max
Main Course South Indian,290.0,290.0,14.14,280.0,300.0,4.3,4.3,0.14,4.2,4.4,3.5,3.5,0.71,3.0,4.0
Main Course Veg,297.05,292.5,39.34,210.0,375.0,4.4,4.5,0.42,3.5,5.0,14.15,11.0,10.48,1.0,38.0
Main Course [Curry],277.16,284.0,28.47,234.0,330.0,4.2,4.3,0.6,2.5,5.0,172.26,90.0,217.74,12.0,840.0
Main course,353.33,325.0,179.9,141.0,580.0,3.8,3.9,0.67,2.6,4.4,9.5,7.5,8.48,3.0,25.0
Main course enchiladas,406.25,400.0,12.5,400.0,425.0,4.42,4.35,0.26,4.2,4.8,2.5,1.5,2.38,1.0,6.0
Main-course,314.44,325.0,61.11,230.0,405.0,4.09,4.3,0.88,2.8,5.0,6.44,5.0,3.09,4.0,12.0
Mains,420.9,425.0,213.12,120.0,900.0,4.34,4.5,0.55,1.8,5.0,20.54,11.5,23.87,1.0,127.0
Mains (non-veg),261.67,230.0,87.96,160.0,370.0,3.95,4.15,0.88,2.3,4.8,5.5,3.5,5.17,3.0,16.0
Mains (veg),180.0,175.0,54.77,120.0,250.0,3.68,3.65,0.87,2.7,4.7,6.0,5.5,2.16,4.0,9.0
Majaa Thindi Curry Specials(online),258.33,250.0,14.43,250.0,275.0,3.77,3.6,0.47,3.4,4.3,3.33,3.0,0.58,3.0,4.0
Makar Sankranti Specials ,125.0,125.0,7.07,120.0,130.0,4.45,4.45,0.21,4.3,4.6,18.5,18.5,3.54,16.0,21.0
Makar Shankranti Specials,485.86,485.86,67.14,438.38,533.33,4.55,4.55,0.21,4.4,4.7,29.0,29.0,9.9,22.0,36.0
Makar Shankranti/Lohri Specials,335.0,335.0,,335.0,335.0,4.7,4.7,,4.7,4.7,6.0,6.0,,6.0,6.0
Make you own combo,390.0,390.0,14.14,380.0,400.0,4.15,4.15,0.07,4.1,4.2,7.0,7.0,1.41,6.0,8.0
Make your Own Pizza,384.0,384.0,148.49,279.0,489.0,4.55,4.55,0.21,4.4,4.7,2.5,2.5,2.12,1.0,4.0
Make your own Combo,261.25,282.5,77.5,150.0,330.0,3.72,3.6,0.4,3.4,4.3,4.5,3.5,2.38,3.0,8.0
Makhani Gravy Momos,129.0,129.0,,129.0,129.0,5.0,5.0,,5.0,5.0,3.0,3.0,,3.0,3.0
Maki Rolls(6pcs),575.0,575.0,,575.0,575.0,4.5,4.5,,4.5,4.5,4.0,4.0,,4.0,4.0
Malai Sweets,39.0,36.0,5.2,36.0,45.0,4.53,4.6,0.21,4.3,4.7,103.67,96.0,27.32,81.0,134.0
Malgaipodi dosa,220.0,220.0,,220.0,220.0,3.8,3.8,,3.8,3.8,9.0,9.0,,9.0,9.0
Manchurian,256.67,255.0,22.55,235.0,280.0,4.83,4.8,0.15,4.7,5.0,20.67,20.0,12.01,9.0,33.0
Manchurian & Chilly,213.89,208.0,25.89,182.0,260.0,4.08,4.3,0.72,2.6,5.0,35.44,43.0,30.6,3.0,92.0
Mandhi,290.0,290.0,10.0,280.0,300.0,4.23,4.0,0.68,3.7,5.0,7.67,5.0,6.43,3.0,15.0
Mandi,659.78,429.0,505.34,320.0,1929.0,4.47,4.6,0.43,3.7,5.0,60.33,55.0,56.62,4.0,155.0
Mangal Prabhu Hanuman Ji Special,195.0,194.5,57.45,141.0,250.0,4.6,4.5,0.27,4.4,5.0,161.25,12.0,304.62,3.0,618.0
Mango Fiesta,242.5,242.5,38.89,215.0,270.0,4.75,4.75,0.35,4.5,5.0,50.5,50.5,31.82,28.0,73.0
Mango Mania,250.0,250.0,,250.0,250.0,4.0,4.0,,4.0,4.0,13.0,13.0,,13.0,13.0
Mango Specials,387.67,399.0,105.46,277.0,487.0,4.37,4.1,0.55,4.0,5.0,1.0,1.0,0.0,1.0,1.0
Masala Dosa,185.94,179.5,56.87,111.0,279.0,4.14,4.2,0.39,3.3,4.8,148.0,71.0,202.23,3.0,676.0
Masala Omelette,345.0,345.0,,345.0,345.0,4.7,4.7,,4.7,4.7,1.0,1.0,,1.0,1.0
Masala Shawaya Mandi,285.0,285.0,,285.0,285.0,4.4,4.4,,4.4,4.4,31.0,31.0,,31.0,31.0
Mast Dum Biryani,289.0,259.0,51.96,259.0,349.0,4.4,4.4,0.1,4.3,4.5,373.33,341.0,181.67,210.0,569.0
Master Chef Curated Meals (Serves 1),530.8,597.0,83.66,399.0,597.0,4.38,4.5,0.48,2.9,5.0,20.1,8.0,27.57,1.0,127.0
Match Day Combo,442.54,420.0,163.12,169.0,699.0,4.45,4.5,0.45,2.9,5.0,20.22,7.0,35.97,1.0,275.0
Match Day Combos,349.0,349.0,,349.0,349.0,3.5,3.5,,3.5,3.5,4.0,4.0,,4.0,4.0
Match Day Special Combos,577.5,539.5,108.97,469.0,749.0,4.28,4.3,0.53,3.5,4.9,22.17,16.0,19.9,6.0,61.0
Matcha,289.52,280.95,26.43,280.0,360.0,4.24,4.3,0.25,3.8,4.6,10.0,5.0,9.29,2.0,28.0
Matcha Oasis Refresher,310.0,310.0,21.21,295.0,325.0,4.4,4.4,0.42,4.1,4.7,1.5,1.5,0.71,1.0,2.0
Matchdays Epic Deals (upto Rs 308 Off),438.85,419.0,99.87,328.57,599.05,3.8,4.0,0.99,2.3,4.7,5.0,4.0,2.92,3.0,10.0
Mathi,139.68,150.89,20.48,87.5,150.89,4.42,4.5,0.31,4.0,4.9,1.33,1.0,0.71,1.0,3.0
Mathi & Bhaji,200.0,200.0,0.0,200.0,200.0,4.46,4.6,0.5,3.8,5.0,6.6,5.0,4.16,3.0,12.0
Matho,83.86,66.0,26.52,57.0,120.0,4.73,4.8,0.29,3.9,5.0,19.48,13.0,22.4,1.0,84.0
Matka Kulfi,167.88,169.49,5.02,152.54,169.49,4.65,4.8,0.4,3.0,5.0,30.52,16.0,39.15,1.0,212.0
Mava Sweets (khoya),248.57,270.0,57.76,100.0,300.0,4.55,4.6,0.31,3.7,5.0,70.61,16.0,127.09,1.0,574.0
Mawa / Ghee Sweets,204.0,204.0,65.05,158.0,250.0,5.0,5.0,0.0,5.0,5.0,22.0,22.0,22.63,6.0,38.0
Mawa Barfi,227.0,229.0,27.04,192.0,258.0,4.22,4.8,1.3,2.3,5.0,5.5,5.0,3.0,3.0,9.0
Mawa Item,111.43,112.5,16.76,72.0,132.5,4.64,4.7,0.26,4.2,5.0,58.2,15.0,79.6,1.0,270.0
Mawa Sweets,256.66,269.0,112.82,120.0,717.0,4.55,4.7,0.45,2.8,5.0,51.54,10.0,102.85,1.0,630.0
Mawa dryfruit sweet,231.25,225.0,31.46,200.0,275.0,3.82,3.6,0.67,3.3,4.8,5.0,3.5,3.37,3.0,10.0
Mawe Ki Mithai,210.0,200.0,50.28,175.0,350.0,4.44,4.4,0.13,4.3,4.7,480.0,509.0,297.24,8.0,926.0
Mayonnaise Roll,122.5,127.5,20.92,85.0,145.0,3.5,3.55,0.75,2.5,4.3,9.67,6.5,6.15,4.0,18.0
Mayonnaise special items,126.6,100.0,53.83,90.0,220.0,4.44,4.9,0.86,3.0,5.0,8.6,5.0,8.17,3.0,23.0
McBreakfast and Value Mornings,173.14,154.0,71.29,54.0,301.0,4.39,4.6,0.58,2.3,5.0,31.76,8.0,69.73,1.0,511.0
McCafe,178.87,194.0,44.21,102.0,286.0,4.47,4.5,0.41,3.0,5.0,8.13,4.0,11.73,1.0,82.0
McCafe.,168.26,194.0,38.04,114.0,219.05,4.5,4.6,0.48,3.1,5.0,12.53,9.0,11.78,2.0,48.0
McCrispy Range,328.8,337.14,78.83,196.0,497.0,4.45,4.5,0.45,3.1,5.0,10.34,3.0,16.19,1.0,91.0
McSaver Combos (2 Pc Meals),220.25,210.47,61.66,115.23,478.09,4.43,4.5,0.42,1.9,5.0,41.51,11.0,93.58,1.0,988.0
Meal,130.44,139.0,39.85,89.0,189.0,4.53,4.6,0.35,4.0,5.0,19.33,17.0,13.05,3.0,44.0
Meal & Combo,339.0,339.0,,339.0,339.0,4.4,4.4,,4.4,4.4,6.0,6.0,,6.0,6.0
Meal Bowls,650.0,650.0,35.36,625.0,675.0,4.5,4.5,0.71,4.0,5.0,3.0,3.0,0.0,3.0,3.0
Meal Box,326.69,369.0,139.77,99.0,459.0,4.12,4.0,0.4,3.7,5.0,44.38,5.0,106.1,1.0,384.0
Meal For 1,225.5,221.0,53.48,165.0,295.0,4.57,4.6,0.05,4.5,4.6,85.75,37.5,116.77,10.0,258.0
Meal For 2,440.0,440.0,,440.0,440.0,3.9,3.9,,3.9,3.9,41.0,41.0,,41.0,41.0
Meal For One,420.6,395.0,53.93,375.0,479.0,4.54,4.7,0.39,4.0,5.0,2.4,1.0,1.95,1.0,5.0
Meal For One Combo,198.6,189.0,43.06,139.0,259.0,4.62,4.6,0.31,3.7,5.0,67.72,6.0,195.77,2.0,966.0
Meal Menu,430.0,430.0,,430.0,430.0,3.2,3.2,,3.2,3.2,4.0,4.0,,4.0,4.0
Meals,211.08,210.0,89.17,50.0,458.0,4.29,4.4,0.56,2.4,5.0,100.76,25.0,181.06,1.0,843.0
Meals   ,191.0,189.0,14.83,169.0,209.0,4.26,4.2,0.15,4.1,4.5,284.0,242.0,226.14,51.0,662.0
Meals & Combos,259.0,259.0,,259.0,259.0,5.0,5.0,,5.0,5.0,1.0,1.0,,1.0,1.0
Meals - Indian Veg,169.25,167.0,72.99,84.0,259.0,4.68,4.7,0.3,4.3,5.0,5.25,4.5,2.63,3.0,9.0
Meals @100,190.67,200.0,22.86,144.0,200.0,4.07,4.3,0.48,3.2,4.5,22.67,19.5,16.34,8.0,52.0
Meals Add Ons,129.91,119.0,82.76,49.0,299.0,4.56,4.6,0.24,4.2,4.9,59.64,65.0,41.45,1.0,132.0
Meals For One,214.75,210.0,67.16,140.0,299.0,3.88,4.35,1.3,2.0,4.8,6.5,6.5,2.89,3.0,10.0
Meals For One [Serves 1],216.67,220.0,25.17,190.0,240.0,4.33,4.1,0.49,4.0,4.9,3.33,3.0,0.58,3.0,4.0
Meat,270.0,270.0,0.0,270.0,270.0,4.07,3.9,0.76,3.4,4.9,6.0,5.0,3.61,3.0,10.0
Meat Items,200.0,185.0,30.41,180.0,235.0,4.5,4.5,0.3,4.2,4.8,26.33,23.0,23.18,5.0,51.0
Mediterranean/arabic,880.57,875.0,314.45,499.0,1500.0,4.79,5.0,0.38,4.0,5.0,14.57,11.0,11.73,3.0,32.0
Medium Pizza,249.0,249.0,0.0,249.0,249.0,3.97,3.9,0.19,3.8,4.2,77.67,63.0,52.23,28.0,142.0
Medley Smoothie Bowl,335.0,335.0,14.14,325.0,345.0,3.9,3.9,1.13,3.1,4.7,1.0,1.0,0.0,1.0,1.0
Meetha Maza,82.89,79.0,26.21,50.0,109.0,4.22,4.2,0.63,3.3,5.0,4.78,3.0,4.18,1.0,14.0
Meethe Me Kuch,232.0,232.0,,232.0,232.0,3.8,3.8,,3.8,3.8,44.0,44.0,,44.0,44.0
Menu @ 99,157.0,157.0,16.97,145.0,169.0,4.4,4.4,0.14,4.3,4.5,1.5,1.5,0.71,1.0,2.0
Menu At @149,166.95,166.95,,166.95,166.95,4.6,4.6,,4.6,4.6,13.0,13.0,,13.0,13.0
Menu Starts @125/-,156.37,140.43,47.23,103.81,261.0,4.4,4.4,0.41,2.9,5.0,77.38,18.0,150.34,1.0,863.0
Metal Handi - Alishaan Biryani (Serves 4-5),1599.0,1499.0,191.8,1399.0,1999.0,4.51,4.5,0.41,3.6,5.0,2.73,2.0,2.87,1.0,10.0
Metal Handi - Nawabi Biryani (Serves 2),999.0,999.0,,999.0,999.0,3.9,3.9,,3.9,3.9,2.0,2.0,,2.0,2.0
Metal Handi - Shaan Biryani (Serves 2),771.5,769.0,19.09,749.0,799.0,4.38,4.75,0.95,2.2,5.0,3.12,3.5,1.73,1.0,6.0
Mewa Bites,1146.67,1100.0,392.09,780.0,1560.0,4.83,4.8,0.15,4.7,5.0,15.33,18.0,8.33,6.0,22.0
Mexican ,295.67,289.0,57.85,229.0,369.0,4.12,4.05,0.19,3.9,4.4,205.67,43.5,307.09,8.0,772.0
Mexican Burrito Bowls,336.96,315.0,34.42,292.0,404.0,4.54,4.5,0.35,3.6,5.0,6.29,5.0,4.13,1.0,18.0
Mexican Range & New Offerings,270.0,235.23,100.65,86.66,440.0,4.34,4.3,0.41,2.9,5.0,11.6,4.0,20.71,1.0,147.0
Mexican Specials,338.0,375.0,76.37,220.0,410.0,4.78,5.0,0.35,4.2,5.0,6.6,5.0,5.59,1.0,13.0
Mexican rice,375.0,375.0,,375.0,375.0,4.3,4.3,,4.3,4.3,6.0,6.0,,6.0,6.0
Mexicano Burgers,189.0,189.0,,189.0,189.0,4.0,4.0,,4.0,4.0,1.0,1.0,,1.0,1.0
Mezze (appetizers),439.0,439.0,,439.0,439.0,4.6,4.6,,4.6,4.6,74.0,74.0,,74.0,74.0
Mezzeh,420.0,420.0,,420.0,420.0,5.0,5.0,,5.0,5.0,14.0,14.0,,14.0,14.0
Middle Eastern And Persian Salads,500.0,500.0,,500.0,500.0,3.5,3.5,,3.5,3.5,11.0,11.0,,11.0,11.0
Midnight Bites,511.5,524.0,356.78,99.0,899.0,4.55,4.55,0.42,4.1,5.0,25.25,7.5,37.89,4.0,82.0
Midnight Craving,99.49,130.0,67.82,17.14,175.0,3.8,3.8,0.89,1.9,4.8,4.64,4.0,3.88,1.0,14.0
Midnight Feast,271.05,271.05,0.0,271.05,271.05,4.6,4.6,0.0,4.6,4.6,4.5,4.5,0.71,4.0,5.0
Midnight Munchies at 199,199.0,199.0,0.0,199.0,199.0,4.48,4.6,0.29,4.0,4.7,1.0,1.0,0.0,1.0,1.0
Miguels Kitchen,511.25,500.0,75.86,400.0,620.0,4.58,4.65,0.36,4.0,5.0,30.75,23.5,23.02,12.0,85.0
Milk,50.0,50.0,0.0,50.0,50.0,4.95,4.95,0.07,4.9,5.0,2.5,2.5,0.71,2.0,3.0
Milk Cakes / Tres Leches,106.0,105.0,8.22,100.0,120.0,4.74,4.7,0.26,4.4,5.0,13.4,7.0,11.41,3.0,29.0
Milk Products,150.83,90.0,111.92,82.5,280.0,4.8,4.8,0.0,4.8,4.8,165.0,20.0,258.11,12.0,463.0
Milk Shake,163.09,190.0,58.05,69.0,220.0,3.96,4.2,1.08,1.5,5.0,10.64,5.0,10.04,1.0,28.0
Milk Shake With Ice-Cream,99.0,99.0,,99.0,99.0,4.7,4.7,,4.7,4.7,3.0,3.0,,3.0,3.0
Milk Shakes,170.93,159.0,54.93,90.0,320.0,4.36,4.75,0.78,1.5,5.0,7.71,4.0,12.07,1.0,64.0
Milk Shakes & Smoothies,175.82,160.0,26.2,150.0,207.0,4.66,4.8,0.5,3.3,5.0,7.09,4.0,5.56,3.0,20.0
Milk Sweets,139.0,140.0,12.33,119.0,155.0,4.47,4.45,0.26,4.1,4.8,20.5,16.0,16.02,5.0,40.0
Milkshake,216.8,220.0,45.26,150.0,290.0,3.94,4.6,1.23,2.0,5.0,6.9,4.5,5.53,1.0,20.0
Milkshakes,216.53,189.0,76.52,140.0,445.0,4.26,4.6,0.9,1.5,5.0,35.82,8.0,66.82,1.0,297.0
Milkshakes (ice Cream Shakes),204.66,204.66,0.0,204.66,204.66,4.55,4.55,0.06,4.5,4.6,1.0,1.0,0.0,1.0,1.0
Milkshakes With Ice Cream,220.2,215.0,16.44,215.0,267.0,4.5,4.6,0.44,3.7,5.0,18.4,15.5,12.94,3.0,37.0
Milkshakes and Smoothies,352.0,341.0,39.66,319.0,396.0,4.63,4.6,0.25,4.4,4.9,2.33,2.0,1.53,1.0,4.0
Millet Dosa,90.0,90.0,,90.0,90.0,3.6,3.6,,3.6,3.6,15.0,15.0,,15.0,15.0
Millet Express Classics,194.0,194.0,63.64,149.0,239.0,4.35,4.35,0.07,4.3,4.4,519.0,519.0,233.35,354.0,684.0
Millet Items[Bv],163.33,180.0,28.87,130.0,180.0,4.4,4.2,0.35,4.2,4.8,23.0,14.0,15.59,14.0,41.0
Millet Kerala Parotta with Curry,299.0,299.0,18.97,269.0,319.0,4.1,4.2,0.3,3.7,4.5,4.67,1.5,6.71,1.0,18.0
Millet Roti with Curry,282.0,284.0,17.03,259.0,299.0,3.9,4.0,0.8,2.4,5.0,3.0,2.5,2.21,1.0,9.0
Millet South Indian Bowls,232.0,227.0,31.54,205.0,279.0,4.1,4.2,0.59,3.0,4.8,272.5,325.5,226.21,3.0,498.0
Millet Stuffed Paratha,179.0,179.0,28.28,159.0,199.0,4.15,4.15,0.07,4.1,4.2,40.5,40.5,21.92,25.0,56.0
Millets Magic,599.0,599.0,,599.0,599.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0
Mimi Singzu,149.0,149.0,,149.0,149.0,4.4,4.4,,4.4,4.4,9.0,9.0,,9.0,9.0
MineCraft Meal,170.72,208.78,76.41,93.0,267.62,4.25,4.25,0.6,2.4,5.0,4.14,3.0,3.21,1.0,14.0
Mini Biryanis,300.0,300.0,0.0,300.0,300.0,4.45,4.45,0.35,4.2,4.7,7.5,7.5,7.78,2.0,13.0
Mini Bowls,224.2,233.0,47.61,159.0,314.0,4.29,4.3,0.47,2.2,5.0,6.92,5.0,7.5,1.0,64.0
Mini Burrito Bowl (New),256.0,259.0,12.52,239.0,269.0,4.46,4.6,0.46,3.5,5.0,1.4,1.0,0.7,1.0,3.0
Mini Cake,305.0,265.0,69.28,265.0,385.0,4.73,4.9,0.29,4.4,4.9,1.33,1.0,0.58,1.0,2.0
Mini Cakes,399.0,399.0,,399.0,399.0,4.0,4.0,,4.0,4.0,5.0,5.0,,5.0,5.0
Mini Cakes (150 Grams - Names Not To Be Written On Cake,136.0,135.0,2.24,135.0,140.0,4.1,4.3,0.37,3.6,4.4,147.6,84.0,151.46,42.0,410.0
Mini Combo Rice,315.0,315.0,,315.0,315.0,4.8,4.8,,4.8,4.8,9.0,9.0,,9.0,9.0
Mini Lunchbox,145.36,139.0,20.74,119.0,199.0,3.97,4.0,0.34,3.3,4.4,1.58,1.0,1.0,1.0,5.0
Mini Meals,199.6,223.0,36.77,139.0,223.0,4.1,3.9,0.58,3.5,5.0,20.8,6.0,25.74,3.0,63.0
Mini Pack,316.95,316.95,0.0,316.95,316.95,4.67,4.7,0.25,4.4,4.9,100.33,31.0,132.4,17.0,253.0
Mini Pancakes,124.41,135.0,18.05,89.0,145.0,4.07,4.0,0.51,3.3,4.9,13.78,11.0,11.84,2.0,36.0
Mini Pizzas,120.33,116.0,19.86,103.0,142.0,4.77,4.9,0.23,4.5,4.9,2.33,2.0,0.58,2.0,3.0
Mini Rice Bowls @100,217.93,199.0,74.75,159.0,449.0,4.58,4.6,0.4,2.9,5.0,6.68,4.0,6.33,1.0,24.0
"Mini Rolls [Small 7""]",161.0,139.0,84.56,99.0,399.0,4.43,4.3,0.41,3.8,5.0,1.9,1.0,1.2,1.0,4.0
Mini Signature Rice ,101.0,101.0,0.0,101.0,101.0,4.4,4.6,0.39,3.8,4.7,6.5,6.5,3.94,1.0,12.0
Mini Stick,113.19,105.72,10.37,105.72,126.27,4.8,4.9,0.18,4.3,4.9,64.55,75.0,53.73,4.0,146.0
Mini Thali Meals,251.33,259.0,29.35,219.0,359.0,4.52,4.7,0.5,2.0,5.0,14.45,6.0,25.24,1.0,164.0
Mini Thalis,398.0,398.0,0.0,398.0,398.0,4.46,4.6,0.38,3.6,4.8,9.0,8.0,6.44,3.0,25.0
Mini Tiffin,115.0,115.0,21.21,100.0,130.0,4.5,4.5,0.14,4.4,4.6,222.0,222.0,230.52,59.0,385.0
Mini Tiffin Meals,282.86,285.0,18.68,255.0,305.0,3.4,3.3,0.81,2.2,4.5,4.14,3.0,1.86,3.0,8.0
Misal/ Puri Bhaji/ Cutlet/ Bhature/ Upma / Sheera,158.33,132.5,62.74,125.0,285.0,4.27,4.3,0.39,3.8,4.8,67.83,9.0,147.13,2.0,368.0
Mithaa's,129.0,129.0,,129.0,129.0,4.3,4.3,,4.3,4.3,40.0,40.0,,40.0,40.0
Mithai Collections,152.0,180.0,67.51,75.0,201.0,4.53,4.4,0.23,4.4,4.8,5.67,6.0,3.51,2.0,9.0
Mithai Packs,811.33,500.0,586.17,250.0,2350.0,4.53,4.7,0.58,2.7,5.0,40.81,5.0,165.41,1.0,867.0
Mix Fried Rice,305.0,305.0,49.5,270.0,340.0,3.9,3.9,1.27,3.0,4.8,13.0,13.0,12.73,4.0,22.0
Mix Noodles,273.33,290.0,28.87,240.0,290.0,4.0,4.2,0.82,3.1,4.7,12.33,6.0,11.85,5.0,26.0
Mix Noodles Regular,321.0,329.0,10.95,309.0,329.0,4.24,4.8,1.09,2.4,5.0,3.8,3.0,3.11,1.0,8.0
Mixed Chow,452.5,457.5,72.63,380.0,515.0,4.85,4.95,0.24,4.5,5.0,58.5,48.5,43.38,18.0,119.0
Mixed Masala Dosa,172.75,163.0,33.14,137.0,241.0,3.82,3.7,0.69,3.0,4.9,66.5,37.0,93.83,7.0,287.0
Mixed Soups,186.67,185.0,4.08,185.0,195.0,4.27,4.4,0.54,3.2,4.7,2.5,2.0,1.97,1.0,6.0
Mixed Utthapam,196.43,202.0,24.73,163.0,241.0,4.04,4.2,0.61,2.9,4.7,17.86,13.0,17.73,4.0,56.0
Mocktail,113.33,120.0,70.24,40.0,180.0,4.13,3.8,0.58,3.8,4.8,64.0,6.0,103.07,3.0,183.0
Mocktail Manai,155.0,155.0,35.36,130.0,180.0,4.8,4.8,0.0,4.8,4.8,8.0,8.0,7.07,3.0,13.0
Mocktails,185.94,159.0,80.38,80.0,494.0,4.45,4.7,0.68,2.0,5.0,13.53,7.5,27.0,1.0,159.0
Mocktails ,199.0,199.0,0.0,199.0,199.0,4.18,4.2,0.44,3.7,4.6,37.5,25.0,30.66,17.0,83.0
Mocktails & Juices,127.15,130.0,12.72,99.0,135.0,4.47,4.5,0.48,3.5,5.0,2.31,2.0,1.6,1.0,6.0
Mocktails And Shakes,147.62,155.0,47.91,14.0,220.0,4.24,4.3,0.41,3.1,4.9,33.04,10.0,58.96,3.0,247.0
Modak,347.5,332.5,57.13,300.0,485.0,4.86,5.0,0.31,4.1,5.0,4.75,4.5,3.65,1.0,13.0
Mojito,142.89,128.52,81.03,65.0,320.0,4.05,4.0,0.84,2.0,5.0,10.15,6.0,14.85,1.0,57.0
Mojito & Mocktail,132.33,129.0,5.16,129.0,139.0,4.62,4.6,0.16,4.4,4.8,19.5,24.0,14.63,1.0,34.0
Mojitos,135.0,135.0,40.41,100.0,170.0,4.58,4.85,0.59,3.7,4.9,4.0,3.5,1.41,3.0,6.0
Mokthuk (Soup With Momos),352.33,349.0,25.17,329.0,379.0,4.37,4.7,0.76,3.5,4.9,38.33,38.0,37.5,1.0,76.0
Mom's Kitchen Spl Dish,40.0,40.0,0.0,40.0,40.0,2.55,2.55,0.21,2.4,2.7,4.5,4.5,0.71,4.0,5.0
Momo,171.62,180.0,62.99,70.0,280.0,4.19,4.3,0.55,3.0,5.0,36.83,8.0,74.87,1.0,380.0
Momo 6 Piece,105.0,105.0,7.07,100.0,110.0,2.95,2.95,0.07,2.9,3.0,63.5,63.5,41.72,34.0,93.0
Momo Hut,155.6,139.5,36.98,110.0,200.0,4.41,4.45,0.24,4.0,4.7,64.2,22.0,90.87,3.0,269.0
Momo Mania,196.67,199.0,33.71,159.0,245.0,3.97,3.95,0.53,3.3,4.7,11.67,11.0,7.03,1.0,22.0
Momo Meal,170.0,170.0,,170.0,170.0,3.7,3.7,,3.7,3.7,4.0,4.0,,4.0,4.0
Momo Saver Combos (upto 30% Off),449.0,369.0,138.56,369.0,609.0,4.5,4.6,0.17,4.3,4.6,106.67,92.0,25.4,92.0,136.0
Momo on Wow! China - Newly Launched,169.0,169.0,0.0,169.0,169.0,4.5,4.5,0.42,4.2,4.8,2.0,2.0,1.41,1.0,3.0
Momos,170.34,160.0,65.84,30.0,410.0,4.17,4.3,0.58,2.2,5.0,67.04,16.0,143.15,1.0,830.0
Momos & Snacks,140.0,140.0,,140.0,140.0,4.2,4.2,,4.2,4.2,5.0,5.0,,5.0,5.0
Momos & Spring Roll,144.0,144.0,,144.0,144.0,4.5,4.5,,4.5,4.5,4.0,4.0,,4.0,4.0
Momos +  Kathi Rolls (combo),340.0,340.0,0.0,340.0,340.0,3.23,3.3,1.0,2.2,4.2,4.67,4.0,2.08,3.0,7.0
Momos 10 pcs,243.54,235.0,40.13,179.0,300.0,4.15,4.3,0.44,3.2,4.8,148.62,39.0,209.12,3.0,644.0
Momos 5 pcs,133.75,140.5,23.45,99.0,159.0,4.35,4.4,0.35,3.8,4.8,9.88,5.0,11.57,1.0,34.0
Momos Combo,286.25,294.0,28.3,246.0,311.0,4.2,4.35,0.48,3.5,4.6,5.75,6.5,2.87,2.0,8.0
Momos Platter,633.5,633.5,184.55,503.0,764.0,4.4,4.4,0.14,4.3,4.5,39.0,39.0,42.43,9.0,69.0
Momos or Wanton,256.67,275.0,31.75,220.0,275.0,4.33,4.4,0.31,4.0,4.6,273.0,304.0,220.14,39.0,476.0
Monsoon - Specials,346.5,369.0,102.1,219.0,429.0,4.72,4.75,0.25,4.4,5.0,8.5,5.0,9.15,2.0,22.0
Monsoon Combo,241.67,240.0,2.89,240.0,245.0,4.57,4.6,0.25,4.3,4.8,2.0,2.0,1.0,1.0,3.0
Monsoon Combos,309.86,309.86,47.18,276.5,343.22,4.3,4.3,0.85,3.7,4.9,1.0,1.0,0.0,1.0,1.0
Monsoon Must-Haves,305.0,305.0,,305.0,305.0,4.9,4.9,,4.9,4.9,2.0,2.0,,2.0,2.0
Monsoon Specials,232.25,220.0,56.92,180.0,309.0,4.52,4.7,0.43,3.9,4.8,24.25,26.5,14.27,5.0,39.0
Monster Pizza (24 Inches),1979.0,1979.0,,1979.0,1979.0,3.2,3.2,,3.2,3.2,2.0,2.0,,2.0,2.0
Moo Mithaa Karloji,314.0,314.0,21.21,299.0,329.0,4.25,4.25,0.21,4.1,4.4,8.5,8.5,4.95,5.0,12.0
Mooligai Dosa Varieties,120.0,120.0,,120.0,120.0,4.4,4.4,,4.4,4.4,3.0,3.0,,3.0,3.0
Morning & Evening Special,129.54,137.5,44.7,44.0,190.0,4.35,4.4,0.35,3.5,4.8,65.96,19.0,128.96,4.0,606.0
Morning Breakfast,52.0,48.0,6.93,48.0,60.0,4.7,4.7,0.1,4.6,4.8,39.67,34.0,17.21,26.0,59.0
Morning Breakfast @ Gwalia,107.2,99.0,43.32,49.0,169.0,4.6,4.5,0.3,4.2,4.9,10.6,10.0,6.84,2.0,20.0
Mountain Classic,186.0,190.0,19.53,152.0,199.0,4.24,4.3,0.27,3.8,4.5,51.8,67.0,42.38,6.0,91.0
Mountain Paneer,282.0,282.0,,282.0,282.0,3.7,3.7,,3.7,3.7,15.0,15.0,,15.0,15.0
Mountain Premium,233.43,230.0,5.86,230.0,242.0,3.8,3.8,0.79,2.7,4.8,15.29,12.0,12.07,3.0,31.0
Mountain Spicy,275.0,275.0,,275.0,275.0,4.6,4.6,,4.6,4.6,4.0,4.0,,4.0,4.0
Mountain Supreme,328.0,328.0,0.0,328.0,328.0,4.43,4.6,0.29,4.1,4.6,6.0,4.0,4.36,3.0,11.0
Mouth Watering Items,70.0,70.0,,70.0,70.0,4.6,4.6,,4.6,4.6,158.0,158.0,,158.0,158.0
Mowraps,222.33,229.0,11.55,209.0,229.0,4.37,4.7,0.76,3.5,4.9,11.0,9.0,6.24,6.0,18.0
